filename,project,anchor_sentence
[극비] 기술검토서_T-106.txt,하이게이트,- 현장 재현: 2026-04-19 ~ 2026-06-14
[극비] 기술검토서_T-106.txt,하이게이트,- 인수 검증: 2026-06-04 ~ 2026-10-12
[극비] 기술검토서_T-106.txt,하이게이트,- 통합 시험: 2026-03-07 ~ 2026-05-14
[극비] 기술검토서_T-106.txt,하이게이트,- 인수 검증: 2026-06-11 ~ 2026-09-27
[극비] 기술검토서_T-163.txt,블랙레이븐,튜닝 결과 요약: 가중치 분배: 핵심 지표 70% / 보조 지표 45% 비율이 안정적; 신뢰도 감쇠율: 0.19로 설정 후 오탐 비율이 감소; 파라미터 조정은 가상 시뮬레이션 환경에서만 수행되며 실환경 적용과 무관함; 스코어 임계치: 72점 구간에서 보수 모드 전환 비율이 안정화됨; 윈도우 길이: 21프레임으로 조정 시 지연-정확도 균형이 개선됨
[극비] 기술검토서_T-163.txt,블랙레이븐,"리스크: 리스크 완화는 단계별 게이트와 롤백 절차로 구성한다. 주요 리스크는 입력 품질 저하, 예외 경로 누락, 통합 지연으로 분류한다."
[극비] 기술검토서_T-163.txt,블랙레이븐,"범위: 보안 제어 노드, 통신 게이트웨이, 의사결정 코어, 임무 스케줄러을(를) 핵심 구성으로 정의한다."
[극비] 기술검토서_T-163.txt,블랙레이븐,"성능 지표: 평균 지연 163ms, 정확도 97%, 신호대잡음비 19dB, 처리량 128Mbps, 전력 98W, 동작 온도 상한 36C를 목표로 한다."
[극비] 기술검토서_T-163.txt,블랙레이븐,"통제: 인터페이스 변경은 승인 기록을 요구하며, 로그는 무결성 검증 후 보관한다."
[극비] 기술검토서_T-163.txt,블랙레이븐,[입력] -> [정규화] -> [품질게이트] -> [추론] -> [출력]
[극비] 기술검토서_T-163.txt,블랙레이븐,일정 계획:
[극비] 기술검토서_T-163.txt,블랙레이븐,- 모듈 통합: 2026-07-22 ~ 2026-10-31
[극비] 기술검토서_T-163.txt,블랙레이븐,- 모듈 통합: 2026-07-16 ~ 2026-11-06
[극비] 기술검토서_T-163.txt,블랙레이븐,- 설계 검토: 2026-07-27 ~ 2026-11-10
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,"보안 지표: 기준 적합률 95%, 감사 대응 소요 5일"
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,"점검 주기: 월간 내부 점검, 분기별 종합 리뷰, 반기별 모의 감사"
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,"산출물: 접근 권한 매트릭스, 반출 승인 로그, 사고 대응 플로우"
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,감사 대응: 분기별 접근 로그 검토를 수행한다.
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,권한 체계: 역할 기반 접근 + 임시 권한 만료(20일)
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,증빙 보관: 변경 이력 및 승인 기록은 19개월 보관
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,이중 승인: 반출 요청은 3인 승인 후 처리한다.
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,목적: 정보 유출 방지와 접근 통제 강화를 위한 내부 기준을 정리한다.
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,로그 정책: 민감 자료 열람 및 반출 기록을 분리 보관한다.
[극비] 내부 보안 점검 결과 보고_105.txt,펄스쉴드,제한 | 승인 후 열람 | 접근 로그 필수
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,"보안 지표: 기준 적합률 92%, 감사 대응 소요 5일"
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,"점검 주기: 월간 내부 점검, 분기별 종합 리뷰, 반기별 모의 감사"
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,"산출물: 접근 권한 매트릭스, 반출 승인 로그, 사고 대응 플로우"
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,감사 대응: 분기별 접근 로그 검토를 수행한다.
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,권한 체계: 역할 기반 접근 + 임시 권한 만료(7일)
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,증빙 보관: 변경 이력 및 승인 기록은 27개월 보관
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,이중 승인: 반출 요청은 3인 승인 후 처리한다.
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,목적: 정보 유출 방지와 접근 통제 강화를 위한 내부 기준을 정리한다.
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,로그 정책: 민감 자료 열람 및 반출 기록을 분리 보관한다.
[극비] 내부 보안 점검 결과 보고_152.txt,아이언루프,제한 | 승인 후 열람 | 접근 로그 필수
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,리스크: 일정 지연과 품질 편차를 중점 관리한다.
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,"점검 주기: 월간 내부 점검, 분기별 종합 리뷰, 반기별 모의 감사"
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,"산출물: 운영 체크리스트, 변경 승인 로그, 리스크 레지스터"
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,"운영 지표: 기준 적합률 87%, 감사 대응 소요 4일"
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,증빙 보관: 변경 이력 및 승인 기록은 26개월 보관
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,지연 건수 | 3건 | 원인 분석
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,목적: 내부 운영 기준과 리스크 대응 방향을 요약한다.
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,"원칙: 최소 공유, 변경 통제, 기록 보존을 준수한다."
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,운영: 표준 절차를 따르며 예외는 승인 후 적용한다.
[극비] 대외 커뮤니케이션 지침_054.txt,아이언루프,보안: 외부 배포를 금지한다.
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,리스크: 일정 지연과 품질 편차를 중점 관리한다.
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,"점검 주기: 월간 내부 점검, 분기별 종합 리뷰, 반기별 모의 감사"
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,"산출물: 운영 체크리스트, 변경 승인 로그, 리스크 레지스터"
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,"운영 지표: 기준 적합률 89%, 감사 대응 소요 3일"
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,증빙 보관: 변경 이력 및 승인 기록은 26개월 보관
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,지연 건수 | 7건 | 원인 분석
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,목적: 내부 운영 기준과 리스크 대응 방향을 요약한다.
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,"원칙: 최소 공유, 변경 통제, 기록 보존을 준수한다."
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,운영: 표준 절차를 따르며 예외는 승인 후 적용한다.
[극비] 대외 커뮤니케이션 지침_161.txt,하이게이트,보안: 외부 배포를 금지한다.
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,변경 검토: 성능/안정성/보안 영향도를 4항목으로 평가한다.
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,"기술 지표: 기준 적합률 95%, 감사 대응 소요 4일"
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,"산출물: 변경 영향도 표, 승인 체크리스트, 검토 회의록"
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,결정 기준: 장기 유지성과 운영 비용을 함께 고려한다.
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,통제: 변경 기록과 승인 이력을 유지한다.
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,보안 | 접근 통제 | 로그 검증
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,- [ ] 승인 라인 확보
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,- [ ] 검증 일정 등록
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,"검토 리드타임 7일, 재검토 비율 21%"
[극비] 데이터 거버넌스 운영 기준_052.txt,아이언루프,"이슈 재발률 8%, 개선 반영 주기 6주"
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,변경 검토: 성능/안정성/보안 영향도를 4항목으로 평가한다.
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,"기술 지표: 기준 적합률 87%, 감사 대응 소요 5일"
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,"산출물: 변경 영향도 표, 승인 체크리스트, 검토 회의록"
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,결정 기준: 장기 유지성과 운영 비용을 함께 고려한다.
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,통제: 변경 기록과 승인 이력을 유지한다.
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,보안 | 접근 통제 | 로그 검증
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,- [ ] 승인 라인 확보
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,- [ ] 검증 일정 등록
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,"이슈 재발률 12%, 개선 반영 주기 4주"
[극비] 데이터 거버넌스 운영 기준_109.txt,하이게이트,"검토 리드타임 7일, 재검토 비율 22%"
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,변경 검토: 성능/안정성/보안 영향도를 4항목으로 평가한다.
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,"기술 지표: 기준 적합률 87%, 감사 대응 소요 2일"
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,"산출물: 변경 영향도 표, 승인 체크리스트, 검토 회의록"
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,결정 기준: 장기 유지성과 운영 비용을 함께 고려한다.
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,통제: 변경 기록과 승인 이력을 유지한다.
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,보안 | 접근 통제 | 로그 검증
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,- [ ] 승인 라인 확보
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,- [ ] 검증 일정 등록
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,"검토 리드타임 16일, 재검토 비율 10%"
[극비] 데이터 거버넌스 운영 기준_228.txt,블랙레이븐,"이슈 재발률 4%, 개선 반영 주기 4주"
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,변경 검토: 성능/안정성/보안 영향도를 5항목으로 평가한다.
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,"기술 지표: 기준 적합률 86%, 감사 대응 소요 5일"
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,"산출물: 변경 영향도 표, 승인 체크리스트, 검토 회의록"
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,결정 기준: 장기 유지성과 운영 비용을 함께 고려한다.
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,통제: 변경 기록과 승인 이력을 유지한다.
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,보안 | 접근 통제 | 로그 검증
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,- [ ] 승인 라인 확보
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,- [ ] 검증 일정 등록
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,"검토 리드타임 15일, 재검토 비율 21%"
[극비] 데이터 거버넌스 운영 기준_232.txt,펄스쉴드,"이슈 재발률 4%, 개선 반영 주기 8주"
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,튜닝 결과 요약: 파라미터 조정은 가상 시뮬레이션 환경에서만 수행되며 실환경 적용과 무관함; 스코어 임계치: 80점 구간에서 보수 모드 전환 비율이 안정화됨; 신뢰도 감쇠율: 0.19로 설정 후 오탐 비율이 감소; 가중치 분배: 핵심 지표 68% / 보조 지표 35% 비율이 안정적; 윈도우 길이: 13프레임으로 조정 시 지연-정확도 균형이 개선됨
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,"리스크: 주요 리스크는 입력 품질 저하, 예외 경로 누락, 통합 지연으로 분류한다. 모듈 경계에서의 책임 분리를 명확히 하고, 실패 전파를 차단한다."
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,"성능 지표: 평균 지연 88ms, 정확도 87%, 신호대잡음비 24dB, 처리량 109Mbps, 전력 36W, 동작 온도 상한 61C를 목표로 한다."
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,"범위: 임무 스케줄러, 장치 자가진단 블록, 통신 게이트웨이, 데이터 정합성 검사기을(를) 핵심 구성으로 정의한다."
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,"통제: 인터페이스 변경은 승인 기록을 요구하며, 로그는 무결성 검증 후 보관한다."
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,일정 계획:
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,- 모듈 통합: 2026-10-19 ~ 2027-01-03
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,- 인수 검증: 2026-07-24 ~ 2026-09-11
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,- 모듈 통합: 2026-06-13 ~ 2026-10-08
[극비] 데이터 흐름 명세서_T-134.txt,아이언루프,- 설계 검토: 2026-06-10 ~ 2026-08-23
[극비] 모델 검증 보고서_T-067.txt,아이언루프,튜닝 결과 요약: 가중치 분배: 핵심 지표 57% / 보조 지표 43% 비율이 안정적; 스코어 임계치: 48점 구간에서 보수 모드 전환 비율이 안정화됨; 파라미터 조정은 가상 시뮬레이션 환경에서만 수행되며 실환경 적용과 무관함; 신뢰도 감쇠율: 0.35로 설정 후 오탐 비율이 감소; 윈도우 길이: 14프레임으로 조정 시 지연-정확도 균형이 개선됨
[극비] 모델 검증 보고서_T-067.txt,아이언루프,"리스크: 모듈 경계에서의 책임 분리를 명확히 하고, 실패 전파를 차단한다. 리스크 완화는 단계별 게이트와 롤백 절차로 구성한다."
[극비] 모델 검증 보고서_T-067.txt,아이언루프,"범위: 임무 스케줄러, 보안 제어 노드, 통신 게이트웨이, 상태 추적 서브시스템을(를) 핵심 구성으로 정의한다."
[극비] 모델 검증 보고서_T-067.txt,아이언루프,"성능 지표: 평균 지연 109ms, 정확도 97%, 신호대잡음비 18dB, 처리량 192Mbps, 전력 15W, 동작 온도 상한 79C를 목표로 한다."
[극비] 모델 검증 보고서_T-067.txt,아이언루프,"통제: 인터페이스 변경은 승인 기록을 요구하며, 로그는 무결성 검증 후 보관한다."
[극비] 모델 검증 보고서_T-067.txt,아이언루프,일정 계획:
[극비] 모델 검증 보고서_T-067.txt,아이언루프,- 설계 검토: 2026-09-08 ~ 2026-11-06
[극비] 모델 검증 보고서_T-067.txt,아이언루프,- 인수 검증: 2026-05-27 ~ 2026-07-08
[극비] 모델 검증 보고서_T-067.txt,아이언루프,- 현장 재현: 2026-04-24 ~ 2026-07-29
[극비] 모델 검증 보고서_T-067.txt,아이언루프,- 시뮬레이션: 2026-11-13 ~ 2027-01-16
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,"보안 지표: 기준 적합률 93%, 감사 대응 소요 3일"
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,"점검 주기: 월간 내부 점검, 분기별 종합 리뷰, 반기별 모의 감사"
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,"산출물: 접근 권한 매트릭스, 반출 승인 로그, 사고 대응 플로우"
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,감사 대응: 분기별 접근 로그 검토를 수행한다.
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,권한 체계: 역할 기반 접근 + 임시 권한 만료(26일)
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,증빙 보관: 변경 이력 및 승인 기록은 20개월 보관
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,이중 승인: 반출 요청은 3인 승인 후 처리한다.
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,목적: 정보 유출 방지와 접근 통제 강화를 위한 내부 기준을 정리한다.
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,로그 정책: 민감 자료 열람 및 반출 기록을 분리 보관한다.
[극비] 보안 사고 대응 시뮬레이션 기록_241.txt,스펙트럼윈드,제한 | 승인 후 열람 | 접근 로그 필수
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,리스크: 일정 지연과 품질 편차를 중점 관리한다.
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,"점검 주기: 월간 내부 점검, 분기별 종합 리뷰, 반기별 모의 감사"
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,"산출물: 운영 체크리스트, 변경 승인 로그, 리스크 레지스터"
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,"운영 지표: 기준 적합률 94%, 감사 대응 소요 4일"
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,증빙 보관: 변경 이력 및 승인 기록은 20개월 보관
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,지연 건수 | 7건 | 원인 분석
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,목적: 내부 운영 기준과 리스크 대응 방향을 요약한다.
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,"원칙: 최소 공유, 변경 통제, 기록 보존을 준수한다."
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,운영: 표준 절차를 따르며 예외는 승인 후 적용한다.
[극비] 생산 라인 안정화 계획_093.txt,블랙레이븐,보안: 외부 배포를 금지한다.
[극비] 설계요건서_T-016.txt,블랙레이븐,튜닝 결과 요약: 신뢰도 감쇠율: 0.34로 설정 후 오탐 비율이 감소; 파라미터 조정은 가상 시뮬레이션 환경에서만 수행되며 실환경 적용과 무관함; 윈도우 길이: 13프레임으로 조정 시 지연-정확도 균형이 개선됨; 가중치 분배: 핵심 지표 68% / 보조 지표 49% 비율이 안정적; 스코어 임계치: 83점 구간에서 보수 모드 전환 비율이 안정화됨
[극비] 설계요건서_T-016.txt,블랙레이븐,"리스크: 주요 리스크는 입력 품질 저하, 예외 경로 누락, 통합 지연으로 분류한다. 리스크 완화는 단계별 게이트와 롤백 절차로 구성한다."
[극비] 설계요건서_T-016.txt,블랙레이븐,"성능 지표: 평균 지연 161ms, 정확도 83%, 신호대잡음비 32dB, 처리량 105Mbps, 전력 12W, 동작 온도 상한 91C를 목표로 한다."
[극비] 설계요건서_T-016.txt,블랙레이븐,"범위: 상태 추적 서브시스템, 데이터 정합성 검사기, 센서 집계 계층, 보안 제어 노드을(를) 핵심 구성으로 정의한다."
[극비] 설계요건서_T-016.txt,블랙레이븐,"통제: 인터페이스 변경은 승인 기록을 요구하며, 로그는 무결성 검증 후 보관한다."
[극비] 설계요건서_T-016.txt,블랙레이븐,[입력] -> [정규화] -> [품질게이트] -> [추론] -> [출력]
[극비] 설계요건서_T-016.txt,블랙레이븐,일정 계획:
[극비] 설계요건서_T-016.txt,블랙레이븐,- 통합 시험: 2026-07-09 ~ 2026-08-23
[극비] 설계요건서_T-016.txt,블랙레이븐,- 모듈 통합: 2026-09-28 ~ 2026-11-20
[극비] 설계요건서_T-016.txt,블랙레이븐,- 시뮬레이션: 2026-05-03 ~ 2026-07-05
[극비] 설계요건서_T-036.txt,스펙트럼윈드,튜닝 결과 요약: 윈도우 길이: 18프레임으로 조정 시 지연-정확도 균형이 개선됨; 파라미터 조정은 가상 시뮬레이션 환경에서만 수행되며 실환경 적용과 무관함; 가중치 분배: 핵심 지표 57% / 보조 지표 47% 비율이 안정적; 신뢰도 감쇠율: 0.12로 설정 후 오탐 비율이 감소; 스코어 임계치: 70점 구간에서 보수 모드 전환 비율이 안정화됨
[극비] 설계요건서_T-036.txt,스펙트럼윈드,"리스크: 주요 리스크는 입력 품질 저하, 예외 경로 누락, 통합 지연으로 분류한다. 리스크 완화는 단계별 게이트와 롤백 절차로 구성한다."
[극비] 설계요건서_T-036.txt,스펙트럼윈드,"성능 지표: 평균 지연 63ms, 정확도 89%, 신호대잡음비 21dB, 처리량 207Mbps, 전력 35W, 동작 온도 상한 61C를 목표로 한다."
[극비] 설계요건서_T-036.txt,스펙트럼윈드,"범위: 의사결정 코어, 장치 자가진단 블록, 통신 게이트웨이, 상태 추적 서브시스템을(를) 핵심 구성으로 정의한다."
[극비] 설계요건서_T-036.txt,스펙트럼윈드,"통제: 인터페이스 변경은 승인 기록을 요구하며, 로그는 무결성 검증 후 보관한다."
[극비] 설계요건서_T-036.txt,스펙트럼윈드,일정 계획:
[극비] 설계요건서_T-036.txt,스펙트럼윈드,- 현장 재현: 2026-03-22 ~ 2026-08-03
[극비] 설계요건서_T-036.txt,스펙트럼윈드,- 요건 수집: 2026-05-05 ~ 2026-09-07
[극비] 설계요건서_T-036.txt,스펙트럼윈드,- 통합 시험: 2026-10-01 ~ 2026-11-14
